Geo_Type_Name,Start_Date,Data_Value
UHF34,12/01/2010,25.24
UHF34,12/01/2008,26.29
UHF34,01/01/2020,18.94
UHF34,01/01/2020,18.59
UHF34,12/01/2018,23.64
CD,12/01/2014,23.05
UHF34,12/01/2009,28.09
UHF34,12/01/2011,23.5
UHF34,12/01/2011,20.3
UHF34,12/01/2011,22.78
UHF34,12/01/2013,18.82
UHF34,06/01/2018,12.77
UHF34,12/01/2016,24.81
UHF34,06/01/2020,9.35
UHF34,12/01/2011,26.18
UHF34,06/01/2017,16.21
UHF34,12/01/2016,27.47
UHF34,06/01/2020,14.49
UHF34,06/01/2017,16.75
UHF34,06/01/2018,15.38
UHF34,12/01/2012,20.23
UHF34,12/01/2010,26.24
UHF34,12/01/2010,28.44
UHF34,06/01/2009,18.49
CD,12/01/2010,19.33
CD,12/01/2008,19.92
CD,06/01/2014,12.11
CD,12/01/2018,18.04
Borough,01/01/2020,14.82
UHF34,12/01/2010,31.48
UHF34,06/01/2009,21.87
UHF34,06/01/2017,11.34
UHF34,06/01/2018,10.37
UHF34,06/01/2020,8.64
UHF34,12/01/2016,20.47
UHF42,06/01/2017,16.36
UHF42,06/01/2018,11.69
UHF42,12/01/2011,25.92
UHF42,06/01/2017,16.69
UHF42,06/01/2017,16.21
UHF34,01/01/2021,16.03
UHF34,06/01/2009,23.14
UHF34,01/01/2021,19.04
UHF34,12/01/2014,21.77
UHF34,01/01/2017,15.45
UHF34,01/01/2021,14.76
CD,01/01/2015,25.77
CD,12/01/2018,26.54
CD,01/01/2015,23.25
CD,06/01/2014,16.63
CD,12/01/2008,23.62
CD,01/01/2015,19.16
CD,12/01/2008,21.33
CD,12/01/2010,20.44
CD,12/01/2018,19.26
CD,01/01/2020,15.54
CD,12/01/2010,20.59
CD,01/01/2020,16.48
CD,12/01/2018,18.66
CD,06/01/2014,13.55
UHF42,06/01/2014,17.27
UHF42,12/01/2018,26.69
UHF42,01/01/2020,19.63
UHF42,12/01/2010,20.79
UHF34,12/01/2010,14.86
UHF42,12/01/2014,26.39
UHF42,06/01/2009,22.28
UHF42,01/01/2021,16.03
UHF42,12/01/2014,25.56
UHF42,06/01/2018,14.02
UHF42,06/01/2017,15.17
UHF42,12/01/2011,24.12
CD,01/01/2021,22.28
CD,01/01/2021,22.13
CD,12/01/2010,30.22
UHF34,12/01/2009,17.87
UHF42,12/01/2016,24.33
UHF42,06/01/2020,11.77
UHF42,12/01/2011,23.32
UHF42,06/01/2017,13.95
CD,06/01/2009,23.88
CD,01/01/2015,29.29
CD,01/01/2020,22.65
CD,01/01/2020,15.83
UHF42,01/01/2020,16.77
UHF42,01/01/2020,16.98
UHF42,01/01/2020,18.5
UHF42,01/01/2020,15.59
UHF42,06/01/2014,23.49
UHF34,12/01/2010,21.82
CD,06/01/2017,23.8
CD,12/01/2009,26.34
CD,12/01/2011,25.3
CD,06/01/2020,14.19
UHF42,12/01/2010,32.92
UHF42,06/01/2009,26.42
UHF42,01/01/2021,18.28
UHF34,12/01/2008,25.14
UHF34,12/01/2010,23.56
UHF34,01/01/2015,19.72
UHF34,01/01/2020,16.07
UHF42,01/01/2021,18.78
UHF42,06/01/2009,19.35
UHF42,12/01/2010,29.4
UHF42,12/01/2012,19.03
CD,01/01/2017,21.96
CD,01/01/2021,25.23
UHF34,12/01/2009,28.06
UHF34,06/01/2017,13.75
UHF34,06/01/2018,12.34
UHF34,06/01/2020,10.66
UHF34,06/01/2017,13.34
UHF42,06/01/2017,14.37
UHF42,06/01/2018,13.05
UHF42,12/01/2011,28.09
UHF42,12/01/2013,23.86
UHF34,12/01/2010,30.47
UHF34,12/01/2012,20.57
UHF34,06/01/2009,21.39
UHF34,01/01/2021,15.1
CD,01/01/2015,22.7
UHF42,06/01/2014,14.13
UHF42,12/01/2018,20.31
CD,06/01/2018,15.93
UHF42,12/01/2008,39.87
UHF42,12/01/2010,33.16
UHF42,01/01/2017,22.64
UHF42,06/01/2009,37.13
UHF42,12/01/2014,32.14
CD,01/01/2020,18.77
CD,12/01/2008,26.09
CD,12/01/2008,34.83
CD,12/01/2010,32.3
CD,12/01/2018,27.38
CD,12/01/2010,20.48
UHF42,12/01/2008,24.79
UHF42,12/01/2010,23.32
UHF42,06/01/2014,18.26
UHF42,01/01/2015,22.28
UHF42,12/01/2018,23.89
UHF42,01/01/2015,19.74
UHF42,12/01/2018,21.76
UHF42,12/01/2010,21.62
UHF42,06/01/2014,13.79
UHF42,01/01/2015,17.08
UHF42,12/01/2018,18.52
UHF42,01/01/2015,17.16
Borough,01/01/2015,25.18
Borough,01/01/2020,20.54
UHF34,12/01/2014,26.96
UHF34,12/01/2010,33.65
UHF34,06/01/2020,15.07
CD,06/01/2014,12.52
CD,01/01/2020,13.68
CD,12/01/2018,19.48
CD,06/01/2014,9.15
CD,06/01/2017,16.98
CD,12/01/2016,27.5
CD,12/01/2011,24.95
CD,06/01/2020,16.72
CD,06/01/2018,21.99
CD,12/01/2011,31.62
CD,12/01/2009,33.64
CD,06/01/2018,21.54
CD,06/01/2017,15.92
CD,12/01/2016,26.54
CD,06/01/2017,16.3
CD,12/01/2016,26.77
UHF42,12/01/2012,16.8
UHF42,01/01/2021,14.25
Borough,06/01/2009,30.87
Borough,12/01/2014,28.69
CD,12/01/2013,17.12
CD,06/01/2020,9.18
CD,12/01/2013,13.98
CD,01/01/2017,21.15
CD,12/01/2012,17.64
